Brand,Hotel Name,City,Ave Pt Value,Ave Pts / night,Ave Pts / 5 Nights,State,DistanceKmFromAirport,DriveMinutesFromAirport
Westin,The Westin Resort & Spa Himalayas,Tehri Garhwal,₹1.11,31000,124000,Uttarakhand,76.3,146
Courtyard,Courtyard Navi Mumbai,Navi Mumbai,₹1.11,18500,74000,Maharashtra,28.4,65
The Luxury Collection,ITC Kohenur a Luxury Collection Hotel Hyderabad,Hyderabad,₹1.11,22500,90000,Telangana,19.2,41
Courtyard,Courtyard Faridabad Aravalli Resort,Faridabad,₹1.11,19000,76000,Haryana,40.2,73
Westin,The Westin Hyderabad Mindspace,Hyderabad,₹1.11,24500,98000,Telangana,19.2,41
Four Points by Sheraton,Four Points by Sheraton Chennai Velachery,Chennai,₹1.11,7000,28000,Tamil Nadu,14.8,39
Courtyard,Courtyard Bengaluru Outer Ring Road,Bengaluru,₹1.02,25000,100000,Karnataka,34.2,54
Aloft Hotels,Aloft Bengaluru Cessna Business Park,Bengaluru,₹1.02,18000,72000,Karnataka,34.2,54
Tribute Portfolio,Mulberry Shades Bengaluru Nandi Hills a Tribute Portfolio Hotel,Bengaluru,₹1.02,21000,84000,Karnataka,34.2,54
Sheraton,Sheraton New Delhi Hotel,New Delhi,₹0.94,18000,72000,Delhi,16.3,35
Tribute Portfolio,The Artiste Kochi a Tribute Portfolio Hotel,Kochi,₹0.94,15000,60000,Kerala,43.6,88
JW Marriott,JW Marriott Bengaluru Prestige Golfshire Resort & Spa,Bengaluru,₹0.94,25000,100000,Karnataka,34.2,54
MOXY Hotels,Moxy Bengaluru Airport Prestige Tech Cloud,Bengaluru,₹0.94,12500,50000,Karnataka,34.2,54
Courtyard,Courtyard Siliguri,Siliguri,₹0.85,9000,36000,West Bengal,19.9,51
Westin,The Westin Pushkar Resort & Spa,Pushkar,₹0.85,24000,96000,Rajasthan,28.6,44
Westin,The Westin Mumbai Powai Lake,Mumbai,₹0.85,21000,84000,Maharashtra,5.6,24
The Luxury Collection,ITC Kakatiya a Luxury Collection Hotel Hyderabad,Hyderabad,₹0.85,18000,72000,Telangana,19.2,41
Fairfield,Fairfield by Marriott Bengaluru Outer Ring Road,Bengaluru,₹0.85,18500,74000,Karnataka,34.2,54
JW Marriott,JW Marriott Hotel Pune,Pune,₹0.77,23500,94000,Maharashtra,11.0,31
Fairfield,Fairfield by Marriott Hyderabad Gachibowli,Hyderabad,₹0.77,16000,64000,Telangana,19.2,41
Sheraton,Sheraton Hyderabad Hotel,Hyderabad,₹0.77,26500,106000,Telangana,19.2,41
Courtyard,Courtyard Gurugram Downtown,Gurugram Haryana,₹0.77,19500,78000,Haryana,18.1,37
Sheraton,Sheraton Grand Chennai Resort & Spa,Chennai,₹0.77,27000,108000,Tamil Nadu,14.8,39
Le Meridien,Le Royal Méridien Chennai,Chennai,₹0.77,11000,44000,Tamil Nadu,14.8,39
Marriott,Bengaluru Marriott Hotel Whitefield,Bengaluru,₹0.77,24000,96000,Karnataka,34.2,54
Marriott,Jim Corbett Marriott Resort & Spa,Ramnagar,₹0.77,32000,128000,Uttarakhand,79.4,134
Four Points by Sheraton,Four Points by Sheraton Sonmarg Resort,Ganderbal,₹0.77,21000,84000,Jammu and Kashmir,32.6,89
Fairfield,Fairfield by Marriott Visakhapatnam,Visakhapatnam,₹0.68,11000,44000,Andhra Pradesh,8.7,10
Four Points,Four Points by Sheraton Visakhapatnam,Visakhapatnam,₹0.68,11000,44000,Andhra Pradesh,8.7,10
JW Marriott,JW Marriott Hotel New Delhi Aerocity,New Delhi,₹0.60,45000,180000,Delhi,16.3,35
Courtyard,Courtyard Bengaluru Hebbal,Bengaluru,₹0.60,21500,86000,Karnataka,34.2,54
Ritz-Carlton,The Ritz-Carlton Bangalore,Bengaluru,₹0.60,46000,184000,Karnataka,34.2,54
Four Points,Four Points by Sheraton Vadodara,Vadodara,₹0.60,11000,44000,Gujarat,5.5,20
Westin,The Westin Sohna Resort & Spa,Sohna-Gurgaon,₹0.60,28000,112000,Haryana,40.5,61
Courtyard,Courtyard Raipur,Raipur,₹0.60,15000,60000,Chhattisgarh,20.5,60
Courtyard,Courtyard Pune Hinjewadi,Pune,₹0.60,19500,78000,Maharashtra,11.0,31
Marriott Hotels & Resorts,Navi Mumbai Marriott Hotel,Navi Mumbai,₹0.60,42000,168000,Maharashtra,28.4,65
The Luxury Collection,ITC Grand Central a Luxury Collection Hotel Mumbai,Mumbai,₹0.60,27000,108000,Maharashtra,5.6,24
The Luxury Collection,ITC Maratha a Luxury Collection Hotel Mumbai,Mumbai,₹0.60,32000,128000,Maharashtra,5.6,24
Courtyard,Courtyard by Marriott Madurai,Madurai,₹0.60,14000,56000,Tamil Nadu,11.7,29
Renaissance Hotels,Renaissance Lucknow Hotel,Lucknow,₹0.60,19500,78000,Uttar Pradesh,15.9,47
Fairfield,Fairfield by Marriott Lucknow,Lucknow,₹0.60,11000,44000,Uttar Pradesh,15.9,47
Westin,The Westin Kolkata Rajarhat,Kolkata,₹0.60,23000,92000,West Bengal,17.4,56
JW Marriott,JW Marriott Hotel Kolkata,Kolkata,₹0.60,28000,112000,West Bengal,17.4,56
Le Meridien,Le Méridien Kochi,Kochi,₹0.60,15000,60000,Kerala,43.6,88
Courtyard,Courtyard Kochi Airport,Kochi,₹0.60,13000,52000,Kerala,43.6,88
Marriott Hotels & Resorts,Coorg Marriott Resort & Spa,Madikeri,₹0.60,37000,148000,Karnataka,92.9,213
Marriott,Jaisalmer Marriott Resort & Spa,Jaisalmer,₹0.60,21000,84000,Rajasthan,7.8,24
Marriott,Hyderabad Marriott Hotel & Convention Centre,Hyderabad,₹0.60,19500,78000,Telangana,19.2,41
Westin,The Westin Chennai Velachery,Chennai,₹0.60,22000,88000,Tamil Nadu,14.8,39
JW Marriott,JW Marriott Hotel Chandigarh,Chandigarh,₹0.60,28000,112000,,12.0,29
Sheraton,Sheraton Grand Bengaluru Whitefield Hotel & Convention Centre,Bengaluru,₹0.60,37000,148000,Karnataka,34.2,54
Fairfield Inn & Suites,Fairfield by Marriott Jaipur,Jaipur,₹0.60,14000,56000,Rajasthan,11.4,27
Four Points,Four Points by Sheraton Ahmedabad,Ahmedabad,₹0.60,15500,62000,Gujarat,12.5,32
Courtyard,Courtyard Agra,Agra,₹0.60,16500,66000,Uttar Pradesh,5.7,20
The Luxury Collection,ITC Mughal a Luxury Collection Resort & Spa Agra,Agra,₹0.60,19000,76000,Uttar Pradesh,5.7,20
Marriott,Surat Marriott Hotel,Surat,₹0.51,18000,72000,Gujarat,13.3,36
Four Points,Four Points by Sheraton Hotel & Serviced Apartments Pune,Pune,₹0.51,12000,48000,Maharashtra,11.0,31
Sheraton,Sheraton Grand Pune Bund Garden Hotel,Pune,₹0.51,19500,78000,Maharashtra,11.0,31
Marriott,Marriott Suites Pune,Pune,₹0.51,21000,84000,Maharashtra,11.0,31
Aloft Hotels,Aloft New Delhi Aerocity,New Delhi,₹0.51,29500,118000,Delhi,16.3,35
Le Meridien,Le Méridien New Delhi,New Delhi,₹0.51,32000,128000,Delhi,16.3,35
Courtyard,Courtyard Nashik,Nashik,₹0.51,17000,68000,Maharashtra,7.7,22
Le Meridien,Le Méridien Nagpur,Nagpur,₹0.51,19500,78000,Maharashtra,8.2,21
Westin,The Westin Mumbai Garden City,Mumbai,₹0.51,37000,148000,Maharashtra,5.6,24
JW Marriott,JW Marriott Mumbai Sahar,Mumbai,₹0.51,37000,148000,Maharashtra,5.6,24
Le Meridien,Le Méridien Mahabaleshwar Resort & Spa,Mahabaleshwar,₹0.51,37000,148000,Maharashtra,128.1,233
Fairfield,Fairfield by Marriott Kolkata,Kolkata,₹0.51,15500,62000,West Bengal,17.4,56
Four Points,Four Points by Sheraton Kochi Infopark,Kochi,₹0.51,11500,46000,Kerala,43.6,88
Tribute Portfolio,Port Muziris a Tribute Portfolio Hotel Kochi,Kochi,₹0.51,18000,72000,Kerala,43.6,88
Marriott,Kochi Marriott Hotel,Kochi,₹0.51,20500,82000,Kerala,43.6,88
The Luxury Collection,ITC Rajputana a Luxury Collection Hotel Jaipur,Jaipur,₹0.51,23500,94000,Rajasthan,11.4,27
Sheraton,Sheraton Grand Palace Indore,Indore,₹0.51,23000,92000,Madhya Pradesh,7.1,31
Courtyard,Courtyard Hyderabad,Hyderabad,₹0.51,19500,78000,Telangana,19.2,41
